model,accuracy,f1,precision,recall,roc_auc,cv_roc_auc_mean,cv_roc_auc_std
logistic_regression,0.5732776743347949,0.4328876471762123,0.37405159332321697,0.5136876006441223,0.5842465007344714,0.6703162552209135,0.0018513851133228063
random_forest,0.566130097903778,0.43200314527226263,0.369270063180535,0.520412996116321,0.5725453586950409,0.6439363543800157,0.0014086480951928122
hist_gradient_boosting,0.5640278695417142,0.44492027683248575,0.37304437035137217,0.5511035332007199,0.5845957515658837,0.6682966987738651,0.0018567894428327073
