date,arima_forecast,prophet_forecast
2026-03-01,4496.096243878744,4521.797398522907
2026-04-01,4627.829013688123,4727.915463055028
2026-05-01,4702.597662898651,5116.715687625223
2026-06-01,4745.0347187113875,4977.73648751896
2026-07-01,4769.121066733838,5066.643585165241
2026-08-01,4782.7919529427845,4800.593334028538
